Unnamed: 0,sample,tissue_type.samples,kmeans_pca_2_k2,kmeans_pca_3_k2,kmeans_raw_k2,hierarchical_pca_2_k2,hierarchical_pca_3_k2,hierarchical_raw_k2,gmm_pca_2_k2,gmm_pca_3_k2,kmeans_pca_opt_k2,hierarchical_pca_opt_k2,gmm_pca_opt_k2
193,TCGA-B0-5703-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
195,TCGA-AK-3434-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
201,TCGA-B4-5836-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
206,TCGA-A3-A8OW-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
215,TCGA-B0-4714-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
216,TCGA-B0-4714-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
225,TCGA-CZ-5457-11A,Normal,1,1,1,1,1,1,1,0,1,1,1
226,TCGA-CZ-5457-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
229,TCGA-BP-4177-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
230,TCGA-BP-4177-01A,Tumor,1,1,1,1,1,1,1,0,1,1,1
231,TCGA-BP-5187-01A,Tumor,0,0,1,0,0,0,0,1,0,0,0
232,TCGA-BP-5187-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
240,TCGA-BP-5169-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
241,TCGA-BP-5169-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
242,TCGA-B0-5104-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
243,TCGA-B0-5104-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
255,TCGA-B0-5690-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
257,TCGA-B0-5110-01A,Tumor,0,0,1,0,0,0,0,1,0,1,0
258,TCGA-B0-5110-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
267,TCGA-DV-A4W0-05A,Tumor,1,1,1,0,1,1,1,1,1,1,1
268,TCGA-DV-A4W0-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
269,TCGA-B8-5546-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
271,TCGA-CW-6088-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
276,TCGA-B4-5843-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
279,TCGA-MM-A563-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
292,TCGA-B0-4945-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
293,TCGA-B0-4945-01A,Tumor,0,0,1,0,0,0,0,1,0,1,1
294,TCGA-CZ-5460-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
295,TCGA-CZ-5460-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
296,TCGA-B0-5096-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
297,TCGA-B0-5096-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
304,TCGA-CZ-5462-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
305,TCGA-CZ-5462-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
308,TCGA-B0-5692-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
316,TCGA-CJ-4902-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
317,TCGA-CJ-4902-01A,Tumor,0,0,1,0,0,0,0,1,0,0,0
328,TCGA-B0-4819-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
329,TCGA-B0-4819-01A,Tumor,0,0,1,0,0,0,0,1,0,0,0
336,TCGA-MM-A84U-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
337,TCGA-A3-3370-01A,Tumor,0,0,1,0,0,0,0,1,0,1,0
338,TCGA-A3-3370-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
341,TCGA-CJ-4901-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
342,TCGA-CJ-4901-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
343,TCGA-BP-5192-01A,Tumor,1,1,1,0,0,0,0,1,1,0,1
344,TCGA-BP-5192-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
345,TCGA-AK-3433-01A,Tumor,1,1,1,1,1,1,1,0,1,1,1
346,TCGA-CJ-4897-01A,Tumor,1,1,1,0,0,0,0,1,0,0,1
347,TCGA-CJ-4897-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
351,TCGA-A3-A8OX-01A,Tumor,0,0,1,0,0,0,0,1,0,0,0
361,TCGA-B0-5097-01A,Tumor,0,0,1,0,0,0,0,1,0,0,0
362,TCGA-B0-5097-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
369,TCGA-AK-3461-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
372,TCGA-B0-4848-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
373,TCGA-B0-4848-01A,Tumor,0,0,1,0,0,0,0,1,0,0,0
386,TCGA-A3-3373-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
387,TCGA-A3-3373-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
392,TCGA-CJ-5676-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
394,TCGA-BP-5182-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
395,TCGA-BP-5182-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
398,TCGA-B8-A54H-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
399,TCGA-AK-3431-01A,Tumor,0,0,1,0,0,0,0,1,0,0,0
400,TCGA-CJ-4907-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
401,TCGA-CJ-4907-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
404,TCGA-B0-5098-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
405,TCGA-B0-5098-11A,Normal,1,1,1,1,1,1,0,1,1,1,0
412,TCGA-G6-A5PC-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
413,TCGA-CJ-5679-01A,Tumor,0,0,0,0,0,0,0,1,0,0,1
415,TCGA-B0-4814-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
416,TCGA-B0-4814-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
422,TCGA-B0-5115-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
423,TCGA-B0-5115-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
430,TCGA-CJ-5682-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
433,TCGA-CW-6090-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
435,TCGA-B0-5700-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
436,TCGA-CJ-6033-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
449,TCGA-B8-A54F-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
450,TCGA-B4-5378-01A,Tumor,1,1,1,1,1,1,1,1,1,1,1
451,TCGA-CZ-5466-01A,Tumor,0,0,1,0,0,0,0,1,0,0,0
452,TCGA-CZ-5466-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
453,TCGA-B0-4811-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
454,TCGA-B0-4811-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
459,TCGA-CW-5589-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
461,TCGA-B8-5550-01A,Tumor,0,0,1,0,0,0,0,1,0,0,0
462,TCGA-B8-A54E-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
479,TCGA-EU-5906-01A,Tumor,0,0,1,0,0,0,0,1,0,0,0
480,TCGA-A3-3367-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
481,TCGA-A3-3367-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
482,TCGA-B0-4701-01A,Tumor,0,0,1,0,0,0,0,1,0,0,0
483,TCGA-B0-4701-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
484,TCGA-B0-5107-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
485,TCGA-B0-5107-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
486,TCGA-CZ-5464-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
487,TCGA-CZ-5464-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
492,TCGA-B0-5121-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
493,TCGA-B0-5121-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
496,TCGA-CW-5587-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
500,TCGA-B0-5702-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
501,TCGA-B0-5083-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
502,TCGA-B0-5083-01A,Tumor,1,1,1,0,1,1,0,1,1,1,1
540,TCGA-CZ-5986-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
541,TCGA-B0-5711-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
542,TCGA-B0-5711-11A,Normal,1,1,1,0,0,0,0,0,1,0,0
551,TCGA-B0-5094-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
552,TCGA-B0-5094-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
565,TCGA-BP-5177-01A,Tumor,1,1,1,0,0,0,0,1,1,0,0
566,TCGA-BP-5177-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
569,TCGA-BP-5198-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
570,TCGA-BP-5198-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
575,TCGA-B8-A54D-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
576,TCGA-BP-5176-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
577,TCGA-BP-5176-01A,Tumor,0,0,1,0,0,0,0,1,0,0,0
585,TCGA-B8-5549-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
588,TCGA-B0-5100-01A,Tumor,0,0,1,0,0,1,0,1,0,1,1
589,TCGA-B0-5100-11A,Normal,1,1,1,1,1,1,0,1,1,1,0
590,TCGA-B0-4849-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
591,TCGA-B0-4849-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
592,TCGA-AK-3428-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
597,TCGA-CJ-5684-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
610,TCGA-B2-5641-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
614,TCGA-CJ-4912-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
615,TCGA-CJ-4912-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
616,TCGA-B4-5844-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
617,TCGA-B8-5159-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
620,TCGA-B0-5117-01A,Tumor,1,1,1,1,1,1,1,0,1,1,1
621,TCGA-B0-5117-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
624,TCGA-MW-A4EC-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
625,TCGA-B8-4622-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
637,TCGA-B0-4817-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
638,TCGA-B0-4817-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
641,TCGA-B0-5710-11A,Normal,1,1,1,0,0,0,0,1,1,0,0
642,TCGA-B0-5710-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
645,TCGA-B0-4699-01A,Tumor,0,0,1,0,0,1,0,1,0,1,1
646,TCGA-B0-4699-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
647,TCGA-CJ-6032-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
648,TCGA-B0-5709-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
657,TCGA-BP-5173-01A,Tumor,1,0,1,0,0,0,0,1,0,0,1
658,TCGA-BP-5173-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
